date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:57	1748/1748	---M--	200	added ('OK')	image/gif	etag:%226d4-4f5b7b00cae16%22	http://mobile.eric-poncet.com/palm/screens/ui2.gif	mobile.eric-poncet.com/palm/screens/ui2.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:58	4091/4091	---M--	200	added ('OK')	image/gif	etag:%22ffb-4f5b7b018868c%22	http://mobile.eric-poncet.com/palm/screens/ui3.gif	mobile.eric-poncet.com/palm/screens/ui3.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:58	1675/1675	---M--	200	added ('OK')	image/gif	etag:%2268b-4f5b7b0225103%22	http://mobile.eric-poncet.com/palm/screens/ui4.gif	mobile.eric-poncet.com/palm/screens/ui4.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:58	2332/2332	---M--	200	added ('OK')	image/gif	etag:%2291c-4f5b7b02c1f42%22	http://mobile.eric-poncet.com/palm/screens/ui5.gif	mobile.eric-poncet.com/palm/screens/ui5.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:58	1599/1599	---M--	200	added ('OK')	image/gif	etag:%2263f-4f5b7b035f84a%22	http://mobile.eric-poncet.com/palm/screens/ui6.gif	mobile.eric-poncet.com/palm/screens/ui6.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:59	1826/1826	---M--	200	added ('OK')	image/gif	etag:%22722-4f5b7b03fe5e1%22	http://mobile.eric-poncet.com/palm/screens/ui7.gif	mobile.eric-poncet.com/palm/screens/ui7.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:59	1822/1822	---M--	200	added ('OK')	image/gif	etag:%2271e-4f5b7b053e6e3%22	http://mobile.eric-poncet.com/palm/screens/ui9.gif	mobile.eric-poncet.com/palm/screens/ui9.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:59	1650/1650	---M--	200	added ('OK')	image/gif	etag:%22672-4f5b7aff8bfc4%22	http://mobile.eric-poncet.com/palm/screens/ui10.gif	mobile.eric-poncet.com/palm/screens/ui10.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:56:00	1656/1656	---M--	200	added ('OK')	image/gif	etag:%22678-4f5b7b002b142%22	http://mobile.eric-poncet.com/palm/screens/ui102.gif	mobile.eric-poncet.com/palm/screens/ui102.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:56:02	52131/52131	---M--	200	added ('OK')	application/zip	etag:%22cba3-4f5b7aa286438%22	http://mobile.eric-poncet.com/palm/exercises/ui.zip	mobile.eric-poncet.com/palm/exercises/ui.zip	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
